land_use_code,land_use_name,land_use_group,land_use_subcategory,location_setting,independent_variable,time_period,trip_type,number_of_studies,avg_iv_units,du_input_value_used,average_rate,rate_range,standard_deviation,fitted_curve_type,fitted_curve_equation,R_square_value,calculated_trips_avg_rate,calculated_trips_fitted_curve,entering_trips_avg_rate,exiting_trips_avg_rate,entering_trips_fitted_curve,exiting_trips_fitted_curve,notes
021,Commercial Airport,(000-099) Port and Terminal,All Sites,General Urban/Suburban,1000 Sq. Ft. GFA,Weekday,Vehicle,1,2790,2000,1.21,1.21 - 1.21,NA,NA,Not Given,NA,2420,NA,1210,1210,NA,NA,Caution - Small Sample Size
030,Intermodal Truck Terminal,(000-099) Port and Terminal,All Sites,General Urban/Suburban,1000 Sq. Ft. GFA,Weekday Peak Hour AM,Vehicle,2,15,10,1.97,1.38 - 2.42,NA,NA,Not Given,NA,20,NA,9,11,NA,NA,Caution - Small Sample Size
035,Truck and Trailer Parking,(000-099) Port and Terminal,All Sites,General Urban/Suburban,Parking Spaces,Weekday,Vehicle,2,413,300,0.70,0.47 - 1.46,NA,NA,Not Given,NA,210,NA,105,105,NA,NA,Caution - Small Sample Size
090,Park-and-Ride Lot with Bus or Light Rail Service,(000-099) Port and Terminal,All Sites,General Urban/Suburban,Parking Spaces,Weekday,Vehicle,1,470,400,1.65,1.65 - 1.65,NA,NA,Not Given,NA,660,NA,330,330,NA,NA,Caution - Small Sample Size
110,General Light Industrial,(100-199) Industrial,All Sites,General Urban/Suburban,1000 Sq. Ft. GFA,Weekday,Vehicle,27,21,50,3.60,0.34 - 43.86,4.67,NA,Not Given,NA,180,NA,90,90,NA,NA,
130,Industrial Park,(100-199) Industrial,All Sites,General Urban/Suburban,1000 Sq. Ft. GFA,Weekday,Vehicle,27,1252,1000,2.68,1.05 - 14.98,1.84,Linear,T = 2.04(X) + 808.48,0.84,2680,2848,1340,1340,1424,1424,
140,Manufacturing,(100-199) Industrial,All Sites,General Urban/Suburban,1000 Sq. Ft. GFA,Weekday,Vehicle,36,165,200,4.27,0.83 - 49.50,3.49,Logarithmic,Ln(T) = 0.68 Ln(X) + 2.81,0.50,854,610,427,427,305,305,
150,Warehouse,(100-199) Industrial,All Sites,General Urban/Suburban,1000 Sq. Ft. GFA,Weekday,Vehicle,81,554,500,1.38,0.15 - 16.93,1.05,Linear,T = 1.56(X) - 97.97,0.69,690,682,345,345,341,341,
210,Single-Family Detached Housing,(200-299) Residential,All Sites,General Urban/Suburban,Dwelling Units,Weekday,Vehicle,155,261,500,9.09,3.47 - 23.80,2.29,Linear,T = 8.07(X) + 265.45,0.94,4545,4300,2273,2272,2150,2150,
215,Single-Family Attached Housing,(200-299) Residential,All Sites,General Urban/Suburban,Dwelling Units,Weekday,Vehicle,11,84,100,6.57,4.80 - 8.45,1.28,Linear,T = 6.53(X) + 3.25,0.91,657,656,329,328,328,328,
220,Multifamily Housing (Low-Rise),(200-299) Residential,Not Close to Rail Transit,General Urban/Suburban,Dwelling Units,Weekday,Vehicle,28,208,200,6.21,2.46 - 12.50,1.87,Linear,T = 5.63(X) + 120.45,0.70,1242,1246,621,621,623,623,
710,General Office Building,(700-799) Office,All Sites,General Urban/Suburban,1000 Sq. Ft. GFA,Weekday,Vehicle,22,126,150,7.83,3.27 - 27.56,3.71,Linear,T = 6.18(X) + 207.96,0.86,1175,1135,587,588,567,568,
820,Shopping Center (>150k),(800-899) Retail,All Sites,General Urban/Suburban,1000 Sq. Ft. GLA,Weekday,Vehicle,32,459,400,36.39,17.27 - 77.31,15.38,NA,Not Given,NA,14556,NA,7278,7278,NA,NA,
850,Supermarket,(800-899) Retail,All Sites,General Urban/Suburban,1000 Sq. Ft. GFA,Weekday,Vehicle,21,53,50,92.29,30.09 - 170.24,24.98,Linear,T = 85.95(X) + 336.45,0.82,4615,4634,2307,2308,2317,2317,
934,Fast-Food Restaurant with Drive-Through Window,(900-999) Services,All Sites,General Urban/Suburban,1000 Sq. Ft. GFA,Weekday,Vehicle,68,3,3,448.12,98.89 - 1122.37,217.66,NA,Not Given,NA,1344,NA,672,672,NA,NA,
